COUNTY,TOTAL_Births_M17,WHITE_Births_M17,BLACK_Births_M17,HISPANIC_Births_M17
ANDERSON,12,8,1,3
ANDREWS,14,3,0,11
ANGELINA,36,14,6,16
ARANSAS,7,2,0,5
ARCHER,4,3,0,1
ARMSTRONG,2,2,0,0
ATASCOSA,35,7,0,28
AUSTIN,13,6,5,2
BAILEY,4,0,0,4
BANDERA,1,0,0,1
BASTROP,27,4,1,22
BAYLOR,2,2,0,0
BEE,20,2,0,18
BELL,123,39,31,53
BEXAR,807,67,45,695
BLANCO,1,1,0,0
BORDEN,0,0,0,0
BOSQUE,6,3,1,2
BOWIE,59,31,21,7
BRAZORIA,99,37,8,54
BRAZOS,66,10,12,44
BREWSTER,3,0,0,3
BRISCOE,0,0,0,0
BROOKS,13,0,0,13
BROWN,17,10,0,7
BURLESON,3,1,1,1
BURNET,20,7,0,13
CALDWELL,18,2,0,16
CALHOUN,18,0,0,18
CALLAHAN,2,0,0,2
CAMERON,412,29,3,380
CAMP,5,3,1,1
CARSON,1,1,0,0
CASS,11,7,3,1
CASTRO,8,0,0,8
CHAMBERS,7,4,1,2
CHEROKEE,35,11,7,17
CHILDRESS,2,1,0,1
CLAY,1,1,0,0
COCHRAN,1,0,0,1
COKE,0,0,0,0
COLEMAN,5,2,0,3
COLLIN,118,42,19,57
COLLINGSWORTH,0,0,0,0
COLORADO,8,1,3,4
COMAL,29,7,1,21
COMANCHE,5,4,0,1
CONCHO,1,0,0,1
COOKE,25,13,1,11
CORYELL,9,5,1,3
COTTLE,0,0,0,0
CRANE,2,0,0,2
CROCKETT,3,0,0,3
CROSBY,5,0,0,5
CULBERSON,1,0,0,1
DALLAM,6,0,0,6
DALLAS,"1,341",99,301,941
DAWSON,7,1,0,6
DEAF SMITH,26,3,0,23
DELTA,0,0,0,0
DENTON,161,53,10,98
DEWITT,15,3,0,12
DICKENS,2,0,0,2
DIMMIT,14,0,0,14
DONLEY,4,2,2,0
DUVAL,8,0,0,8
EASTLAND,12,11,0,1
ECTOR,146,19,2,125
EDWARDS,1,0,0,1
ELLIS,47,16,6,25
EL PASO,551,15,1,535
ERATH,19,8,0,11
FALLS,8,4,4,0
FANNIN,5,2,1,2
FAYETTE,5,4,0,1
FISHER,0,0,0,0
FLOYD,8,1,0,7
FOARD,1,1,0,0
FORT BEND,105,14,26,65
FRANKLIN,8,4,1,3
FREESTONE,10,5,1,4
FRIO,12,1,0,11
GAINES,10,3,0,7
GALVESTON,88,27,22,39
GARZA,4,0,0,4
GILLESPIE,3,2,0,1
GLASSCOCK,0,0,0,0
GOLIAD,3,1,0,2
